sequence,model,example,gold,prediction,score
canonical_first,top_down,lentil_stew,0,1,0.692
canonical_first,top_down,fruit_soup,0,1,0.615
canonical_first,top_down,gravy,0,1,0.615
canonical_first,bottom_up,lentil_stew,0,1,0.874
canonical_first,bottom_up,oatmeal,0,1,0.599
canonical_first,bottom_up,gravy,0,1,0.628
canonical_first,case_based,lentil_stew,0,1,1.0
canonical_first,case_based,oatmeal,0,1,0.632
canonical_first,hybrid,lentil_stew,0,1,0.892
boundary_first,top_down,lentil_stew,0,1,0.692
boundary_first,top_down,fruit_soup,0,1,0.615
boundary_first,top_down,gravy,0,1,0.615
boundary_first,bottom_up,lentil_stew,0,1,0.874
boundary_first,bottom_up,oatmeal,0,1,0.599
boundary_first,bottom_up,gravy,0,1,0.628
boundary_first,case_based,lentil_stew,0,1,1.0
boundary_first,case_based,oatmeal,0,1,0.632
boundary_first,hybrid,lentil_stew,0,1,0.892
negatives_first,top_down,lentil_stew,0,1,0.692
negatives_first,top_down,fruit_soup,0,1,0.615
negatives_first,top_down,gravy,0,1,0.615
negatives_first,bottom_up,lentil_stew,0,1,0.874
negatives_first,bottom_up,oatmeal,0,1,0.599
negatives_first,bottom_up,gravy,0,1,0.628
negatives_first,case_based,lentil_stew,0,1,1.0
negatives_first,case_based,oatmeal,0,1,0.632
negatives_first,hybrid,lentil_stew,0,1,0.892
